,reconstruction_error,true_class
10859,0.0006432346342595135,0
10674,0.0020920038021793623,0
10328,0.0005311597485459218,0
9808,0.002445244110229402,0
10298,0.002845669420710321,0
9714,0.011906354113879716,0
7988,0.0003925104550988512,0
3780,0.0007343184421076812,0
2139,0.0008551270401104765,0
6785,0.0007941356471206694,0
8776,0.0005468118263382136,0
10086,0.0016488399869237606,0
2898,0.0006802274229346971,0
9068,0.005225481566587703,0
7646,0.0005799268231017738,0
6816,0.00031574767224900056,0
7552,0.0005372172125040078,0
4943,0.0010595910028405671,0
9649,0.005383188542583449,0
9738,0.00118128286527557,0
5760,0.0008314662223271903,0
9151,0.003926868293318847,0
6834,0.0005498768019376934,0
2436,0.000774671497767452,0
10206,0.0009452095564445398,0
7869,0.0004636731055126904,0
8059,0.0006048851340042033,0
10031,0.005804814116934143,0
4967,0.0009330716068895231,0
9227,0.0007254301302843613,0
3674,0.0005726247626051573,0
8990,0.009845299626988902,0
6218,0.00039684030901363264,0
4258,0.00040879091588087057,0
9344,0.0013207071986526687,0
7048,0.00040054423549382157,0
10474,0.0013829773495709079,0
4091,0.041238390362346604,0
6241,0.00035236111934009557,0
4952,0.0003325866773702953,0
4151,0.010864695160933522,0
7230,0.0007057247786547377,0
10303,0.002852774368867351,0
4697,0.0005655151035079673,0
2008,0.0014292663290285286,0
4302,0.0006336215564003297,0
7786,0.0003709595156286393,0
8459,0.0004903261791198492,0
6763,0.00039508104802674494,0
2310,0.0004978156821228831,0
8790,0.0006964088034474008,0
8391,0.00032711459209692627,0
5332,0.0005557244577037851,0
2180,0.0018757885338720737,0
7711,0.00044626626821107776,0
2595,0.0008095561121382867,0
7469,0.0005536719958277372,0
4334,0.0005478885173348892,0
3979,0.0010742582210204416,0
5582,0.0005159053180456451,0
7550,0.0003845870965206965,0
8842,0.005281656100051468,0
2280,0.00044961630398688955,0
10434,0.01020163435484837,0
8775,0.005610358735326487,0
2355,0.000537473506093483,0
10946,0.0016447744989908644,0
10511,0.004076663982028684,0
3518,0.0013207071986526687,0
3105,0.000886999853245767,0
3128,0.0009945230159385196,0
7442,0.0005441327567450762,0
6681,0.0003632376798705147,0
5170,0.0005320296571084717,0
1852,0.006088102737995426,0
1535,0.0005468118263382136,0
9443,0.0005487168767714086,0
10075,0.00210055055981875,0
7810,0.00042522089260372354,0
6497,0.0003252871432207179,0
5535,0.0005372000667187616,0
7303,0.0007015960994641176,0
6301,0.0005374571713504031,0
4535,0.0005714681710239525,0
5667,0.00029969869410656025,0
7535,0.0003840756347619158,0
3416,0.0005655331884484936,0
9182,0.0013337501222907937,0
1652,0.0008824609655054226,0
8856,0.0013193518713353711,0
5850,0.00036575224359677427,0
9886,0.0010087899102273995,0
10594,0.0007453176638619872,0
5567,0.0003774141449626041,0
5451,0.0002979258658813551,0
6777,0.0004271391390291357,0
5855,0.0005701175754017016,0
8763,0.00038688552521876535,0
7012,0.0005446915281254134,0
7914,0.000367499165940315,0
2536,0.0013207071986526687,0
3269,0.0005626314314924668,0
7392,0.0005522736235898635,0
6076,0.0005448415662452886,0
3773,0.0008497814872964966,0
9356,0.000498261927511266,0
4707,0.0004632117953507569,0
10675,0.005280147396584728,0
4665,0.0005411217588757326,0
6365,0.00035966206664831654,0
5889,0.0005307970904155684,0
4955,0.0004564137837270147,0
8377,0.009845142190297586,0
5262,0.0004057962200967628,0
9106,0.00044763336156633716,0
2693,0.0007698963323670302,0
2789,0.0007100174194266762,0
1871,0.00035776310693466266,0
8585,0.0008645524989884686,0
7114,0.0006568792611040718,0
6342,0.0005795662107008444,0
5369,0.000411553414224374,0
5441,0.00042587109701568957,0
9217,0.0424987913217804,0
8453,0.0005117530521282042,0
5495,0.00044229948716056384,0
9291,0.0003460222931607025,0
9914,0.031564503306233845,0
7387,0.0005382077118041924,0
2786,0.0018790372431117357,0
9614,0.00032204612644954115,0
1882,0.0006394887650119164,0
9464,0.00045384333849367493,0
8376,0.00984438903971099,0
7066,0.0005375275542529866,0
1777,0.0008548143820627436,0
5072,0.00037156872456320535,0
5604,0.0003729017546935541,0
3854,0.0003395103155883384,0
4179,0.0007536146986152365,0
8845,0.004726121265463174,0
2932,0.0137218099622872,0
2158,0.0005439799632478444,0
3220,0.0044894599031894645,0
3732,0.0007864977265893071,0
3858,0.001104338985621451,0
7993,0.00047884372178298474,0
9881,0.0015500544051177474,0
5293,0.00036298750092339554,0
9238,0.00431217699442985,0
2131,0.009642063444269376,0
5274,0.0006968296388154392,0
6557,0.000376003382032278,0
5950,0.0005385024110909689,0
8783,0.001289748228504396,0
8115,0.00037715273244202534,0
9670,0.0016379630763281034,0
8387,0.00041969782622361846,0
8557,0.0010429916522106753,0
9919,0.0008213031713776939,0
6252,0.00035233673643917247,0
2542,0.0004619315625318154,0
2274,0.00039042475198641715,0
8921,0.00425942421162235,0
5150,0.00035257798279750285,0
7311,0.023277053655070244,0
2331,0.001559149368339841,0
8438,0.0003850184685486419,0
8945,0.0009455368878788883,0
7056,0.0005676615261740233,0
1509,0.044806718170869154,0
5417,0.000526249330059582,0
3206,0.00984470980024385,0
10723,0.005462660575231387,0
2683,0.009770208937057314,0
4130,0.000595876280891105,0
3343,0.009846032147557367,0
3857,0.0004751134232669951,0
8912,0.0077802798316895004,0
7768,0.0004166030362430294,0
10190,0.0012216471699220404,0
2048,0.0004953696752078591,0
9109,0.0019611347817962543,0
7652,0.0005256541967028607,0
4776,0.0005788055044069911,0
4160,0.0003348961596974893,0
9628,0.0013455585574301764,0
4640,0.00055225808196896,0
7567,0.0005324192989614393,0
10275,0.0016630606552220871,0
8345,0.038110938528625585,0
10678,0.0006024521201636416,0
6228,0.0006858194816428687,0
5534,0.00044952771235056365,0
10633,0.007161285146720308,0
2594,0.0010595910028405671,0
10823,0.0005219390111768072,0
9744,0.0003478384134836624,0
4805,0.0005726279279702659,0
3248,0.005980232987801522,0
1743,0.0003707166973545456,0
6096,0.0005444125879565792,0
6448,0.000666948841914031,0
10309,0.006566326062784873,0
3927,0.0005468118263382136,0
5969,0.00033881607978626123,0
3594,0.0006833927906453809,0
9957,0.005183292746472604,0
3410,0.0006575630369112666,0
5925,0.0007268832229365699,0
2636,0.04083942980908047,0
5028,0.00036119117868162783,0
1556,0.0007521782392490408,0
6424,0.000539483632508464,0
7141,0.0005768163947654972,0
6398,0.0003712740656391175,0
9762,0.001737518350875588,0
9370,0.0008252622268015121,0
2199,0.0004560180925590393,0
8905,0.001060526453264809,0
9822,0.0006658017577728723,0
3204,0.0005468118263382136,0
1877,0.0005915669839676775,0
8672,0.014581295154680457,0
10857,0.0004865538726084534,0
3666,0.000533617435907057,0
4146,0.0005165840585600173,0
5413,0.0006613871106183069,0
5140,0.0005542885385216351,0
3690,0.0005018994483847531,0
6541,0.00037512032163926996,0
10662,0.0014148911941293107,0
3718,0.0010860783169038633,0
9699,0.08713324074216457,0
10816,0.0006501251124834754,0
10661,0.0014097856080474804,0
5778,0.0005807541715168239,0
2106,0.00048217819768357995,0
2977,0.00987916963155796,0
8782,0.0012944107563702585,0
6507,0.0005096147504750319,0
8533,0.0006417316057136562,0
4138,0.001110285110722889,0
8180,0.001045265807897687,0
5083,0.0003510877670844432,0
4800,0.0007782394610464649,0
3223,0.008527078935257596,0
7318,0.00046574510672322444,0
7364,0.0004994969919616876,0
9215,0.0007257821070937373,0
10771,0.014547565274711202,0
7251,0.0008093710257606719,0
8411,0.0007829306004847028,0
10954,0.001663857012340669,0
3514,0.012933376896328747,0
6986,0.0007006893458824155,0
6625,0.0003368356755117167,0
6191,0.014874923655789895,0
2327,0.0005739832914951841,0
6708,0.0003553456293057808,0
2906,0.00046673125820148224,0
5185,0.0003009837528266822,0
1896,0.0007485616622088916,0
5590,0.0004092543498427824,0
8241,0.0009415442698650685,0
6366,0.0005732723792728055,0
6542,0.000530667223864705,0
8047,0.00036068325594210165,0
9865,0.015264155514776494,0
9779,0.0011237900572817338,0
7732,0.00040551644559702024,0
10495,0.001021991779090967,0
8910,0.005032515801704869,0
10143,0.0022645597156810667,0
4197,0.0013290325935853527,0
7946,0.0004327595035126927,0
3768,0.0008861839209785753,0
6204,0.0004019324094506261,0
6533,0.000518215294933822,0
2522,0.00035173010691787724,0
4284,0.0003628760239801119,0
1859,0.000865192965359291,0
4096,0.000313410674986521,0
9189,0.0006439998513220394,0
1658,0.0007048880966964082,0
10534,0.011195382130279947,0
9286,0.0004526555496833292,0
8812,0.0006811156238925616,0
5395,0.0005384007128134718,0
7848,0.0012930058416940505,0
7923,0.00035117244651075607,0
6467,0.0009696498656309981,0
7118,0.0005464826059554491,0
8320,0.031672041720574765,0
6307,0.0003653887628056333,0
3008,0.011220270612100935,0
1554,0.0007664265734938901,0
2930,0.011217809101088634,0
3662,0.0005421556104922049,0
7594,0.0007736662830509788,0
10489,0.005856248937682016,0
8529,0.0016184530334518597,0
10209,0.006316134173617122,0
3522,0.010319618163009732,0
1946,0.0008736954262770486,0
2673,0.000561632793715929,0
3949,0.0003710630956919544,0
5346,0.000537628610444718,0
2143,0.0009318590113690028,0
9698,0.09050386569616721,0
5861,0.0005753540759292073,0
9551,0.001349996653042858,0
4784,0.0008890058669967273,0
4274,0.0004889125911907179,0
7634,0.0005743346916439715,0
3791,0.011807530084999344,0
4724,0.00035508880445547753,0
8058,0.0005451451666207593,0
9607,0.0016350566780514956,0
2540,0.001141423939882155,0
8065,0.0003532435139761924,0
6929,0.00037460109154710135,0
8342,0.08598647038772195,0
8633,0.0014466357391444366,0
6619,0.0005420565037230081,0
2499,0.00041321426993775267,0
9224,0.002359816093778143,0
9900,0.0012129078449860085,0
7444,0.0006778057806796665,0
6655,0.0005442154933475461,0
9105,0.0004800124721547819,0
8085,0.0005764036654908938,0
5904,0.0003794645092995793,0
7728,0.00038592259465857994,0
10798,0.0016374264135884853,0
4210,0.0005468118263382136,0
10886,0.003914395313737341,0
1843,0.0008321992535834074,0
1880,0.0009067584257817289,0
3928,0.00033506316051012724,0
6325,0.0005663306598263523,0
1773,0.000868572840947721,0
5483,0.00032896698951472003,0
3079,0.0037470539612946396,0
6016,0.00034238441977083956,0
1811,0.009845140667373234,0
10741,0.0014065464439676643,0
10260,0.0013328538130974973,0
9679,0.001744570955649123,0
2901,0.0010595910476170235,0
7532,0.0003580279478838397,0
8428,0.0006028428959435888,0
2725,0.0010595910028405671,0
2573,0.0005686012726167819,0
9605,0.0022574177670099216,0
8131,0.0005437703175254408,0
