,reconstruction_error,true_class
360382,1.5028414613454535e-06,0
367613,1.6025882976396416e-05,0
366890,1.861504426079992e-05,0
358343,8.40429083324321e-05,0
359334,4.478994729953464e-05,0
366813,3.337750410873228e-05,0
362432,4.3624889162223e-05,0
365689,2.7068277860880256e-06,0
366278,1.7013114257439808e-05,0
358418,4.116792738975424e-06,0
365409,2.6568713242220574e-06,0
360058,1.5849086611692355e-06,0
363430,4.353981183529972e-05,0
360446,4.3519694132240084e-05,0
362382,5.811154967068053e-05,0
362139,4.354476877521556e-05,0
359036,4.483031236665484e-05,0
362499,4.361200128898462e-05,0
361160,4.353953360274572e-05,0
359770,0.00016030245753750734,0
365222,4.8935857271760915e-05,0
360320,8.066042928200295e-05,0
367548,4.0042591824846265e-05,0
361505,4.354079431441958e-05,0
362686,4.355164266041372e-05,0
366908,4.082419048922662e-06,0
366133,1.0136055991261845e-05,0
359455,4.35408421708611e-05,0
365639,5.830317219865081e-06,0
360788,5.798986580205233e-05,0
359542,4.3630737174400584e-05,0
359760,4.357172732073559e-05,0
363472,4.356851028356914e-05,0
367516,7.573072250587563e-05,0
361762,4.3568131706088324e-05,0
366689,1.8413542658156378e-05,0
365188,8.366241278260072e-05,0
366632,9.737014204127112e-05,0
364574,4.350987523801925e-05,0
365977,1.3376888296955497e-05,0
363813,4.392198742555099e-05,0
359517,7.075249554621031e-05,0
361330,4.354162131360532e-05,0
360768,0.00014882481199774477,0
367285,2.103338600292961e-05,0
361114,4.354589101611382e-05,0
359878,4.354605652538306e-05,0
360481,4.360039508926845e-05,0
358858,4.545029117104665e-05,0
360064,1.5904319711740285e-06,0
366224,0.00010936528005583962,0
363935,4.358040349837307e-05,0
366800,3.0128465200768707e-06,0
364605,4.3507779691268704e-05,0
364637,4.367414500413266e-05,0
359630,5.813461916810038e-05,0
364242,4.350180348170768e-05,0
359910,4.3544216718607404e-05,0
364171,4.860511719680628e-05,0
365596,1.5303411543060033e-05,0
360447,4.3521396404735045e-05,0
361328,4.355665394640235e-05,0
361637,4.354345486580079e-05,0
358840,6.0724164788520655e-05,0
361790,4.363472079725154e-05,0
361163,4.356034326735789e-05,0
360477,4.35602318637547e-05,0
364905,4.360361466857537e-05,0
361174,4.354157036684503e-05,0
362853,4.3543054155404356e-05,0
365601,0.00010169058031214739,0
366077,1.8463021113089625e-05,0
362010,4.3544075408719886e-05,0
365378,4.8954962833489525e-05,0
358617,4.086578769497552e-06,0
362698,4.354565742421517e-05,0
360039,7.418453636707058e-05,0
360790,4.3596161639513413e-05,0
364397,4.355244225418762e-05,0
363816,4.3583005347378274e-05,0
366852,3.0408703270364095e-05,0
362900,4.3545592362070545e-05,0
359989,1.5941063872439234e-06,0
363611,4.3527286152390864e-05,0
359881,1.7060120407117317e-05,0
360803,4.356419130775585e-05,0
366979,2.8549912378194113e-06,0
362069,4.355448963446732e-05,0
367203,6.231899755844125e-06,0
364176,4.35951875170701e-05,0
360765,2.4909447928779315e-05,0
361273,4.362495620270347e-05,0
362761,4.3602964329362904e-05,0
360987,7.052387311068406e-05,0
360669,4.3550790388664215e-05,0
365612,1.8553652352739136e-05,0
363712,4.3582419566995706e-05,0
362380,4.354503249806703e-05,0
358521,4.5534806635012184e-05,0
359580,1.6333201112385892e-06,0
361374,8.120598798044432e-05,0
359071,4.4812693730008244e-05,0
358871,4.5606496710482055e-05,0
358543,4.5502025659658804e-05,0
364782,4.3561351126809986e-05,0
367153,2.660556967885276e-05,0
359330,4.480533247883096e-05,0
358310,3.846251986116536e-05,0
365860,8.126795625275203e-06,0
359561,0.00014380325141598413,0
364098,4.3506569102926216e-05,0
359185,4.484238488212587e-05,0
358706,4.550008953073421e-05,0
365150,8.640328437214726e-05,0
366195,0.00010924567582063101,0
367544,2.105432932057092e-05,0
359539,0.00011830548499042148,0
360366,5.799998675691562e-05,0
365164,1.4397326595162701e-05,0
363752,4.351078082013395e-05,0
363897,4.358261798595417e-05,0
367541,0.00010994389427569384,0
358549,8.43269612180146e-05,0
363994,4.358193449112124e-05,0
361775,4.3539776176123426e-05,0
361237,4.357322899017219e-05,0
360097,5.808374350418585e-05,0
362153,4.35417731235533e-05,0
358740,4.570614946978664e-05,0
361010,1.023755679850368e-05,0
360679,4.359573700770652e-05,0
366001,2.997543106995385e-06,0
360522,4.356144334610731e-05,0
365907,1.7244870469881515e-05,0
358335,6.0777008715665746e-05,0
366253,1.0637949783877963e-05,0
358800,4.5460414724824485e-05,0
358453,4.195489991469512e-06,0
367745,7.8309207706744e-06,0
358576,7.328291648704521e-05,0
362704,4.3543224519454264e-05,0
367454,3.069360536327187e-05,0
362721,4.355000252453097e-05,0
359686,7.346237063341381e-05,0
360962,2.018454376106456e-05,0
367214,4.652586343042742e-05,0
358649,7.327557082888723e-05,0
361757,4.357424981630535e-05,0
360706,0.00016113606560010828,0
365583,1.8533230288858394e-05,0
361640,4.354752886730611e-05,0
364246,4.359616523224171e-05,0
365692,1.8549436093697518e-05,0
362827,4.301534025846338e-05,0
362696,4.3545023027977946e-05,0
358344,4.376552472452897e-06,0
362378,4.354265388570846e-05,0
360582,4.3602512128934665e-05,0
363597,4.358702374833768e-05,0
363518,4.3579452700491504e-05,0
366638,1.7338150173195377e-05,0
359947,4.361842078143648e-05,0
361442,4.3581074410469914e-05,0
365973,1.5147083840898587e-05,0
358909,4.548973959891398e-05,0
367262,3.012587685256893e-05,0
360626,0.00011546807718347742,0
361052,4.3584194828997805e-05,0
361876,4.3547033543077334e-05,0
365363,4.8925892603888863e-05,0
360332,1.5082145505892072e-06,0
361724,4.354872042517043e-05,0
364165,4.3597627193425e-05,0
360327,8.057888366032692e-05,0
363885,4.358064264419546e-05,0
359486,2.4544061282466065e-05,0
360836,8.049481098483127e-05,0
366258,0.00010983913699687394,0
367646,3.008564368997902e-05,0
360067,1.58577459816777e-06,0
366348,2.9840641817544785e-05,0
364090,4.359709046457916e-05,0
364681,4.370078515332411e-05,0
362626,4.355602833322377e-05,0
365217,4.88841542105402e-05,0
359254,4.48457045231809e-05,0
363693,4.358028312543289e-05,0
365189,5.861475917158493e-06,0
364768,4.359755267925687e-05,0
365276,8.362267860493987e-06,0
359693,4.005358613293377e-05,0
359293,4.48149743553636e-05,0
367436,2.1063899172205095e-05,0
367522,5.325727961737742e-05,0
365530,1.1321892574035723e-05,0
366570,1.1325704020994875e-05,0
360274,7.094684127088777e-05,0
363386,4.3509045630242565e-05,0
365433,4.8938813169707634e-05,0
361406,4.3549847766349464e-05,0
365532,1.1001397893200232e-05,0
359594,4.3604799373101354e-05,0
363505,4.358090318215837e-05,0
362759,4.355370038048648e-05,0
363023,8.093226099317662e-05,0
364072,4.352091765577735e-05,0
359875,7.664901904259525e-05,0
359844,3.1933083924222797e-05,0
362760,4.360780717022182e-05,0
361077,8.358997396624219e-05,0
367054,1.8438719839400186e-05,0
366857,7.683404405982869e-05,0
366464,7.5068824006748e-05,0
366318,1.099002644047522e-05,0
358935,0.00011876007235613933,0
363645,4.358221393855287e-05,0
362996,1.3805844615529755e-05,0
358657,8.774809967903895e-05,0
361475,4.7813295268087505e-05,0
360974,7.056889296778546e-05,0
364805,4.351078332927278e-05,0
359711,4.356838998676146e-05,0
362992,0.00017007710431331434,0
364206,4.352662870652952e-05,0
360570,4.355825604475311e-05,0
364318,4.359756517164108e-05,0
367202,1.3701236593733893e-05,0
363681,4.358140234474454e-05,0
363027,4.350733374518672e-05,0
366067,1.2599823362276473e-05,0
367001,4.9051151725486194e-05,0
366958,2.3033828691713037e-05,0
366595,1.5796117381926616e-05,0
366209,1.201900793440562e-05,0
362125,4.360898648421819e-05,0
364556,4.359796630641399e-05,0
361701,4.35506503556425e-05,0
366771,2.304557654153415e-05,0
359150,0.0001849185619580785,0
362415,4.355194508905776e-05,0
366359,5.836755056948237e-06,0
363205,4.3557965649007354e-05,0
364557,4.359575303059963e-05,0
