,reconstruction_error,true_class
5757,0.00017674833881307732,0
5758,0.00017661609995042109,0
3332,0.00017695014690082412,0
9518,0.00018776436918207135,0
9335,4.625395150309238e-05,0
8238,0.00011830640296799319,0
5874,0.000177116768181992,0
7932,2.637909183098995e-05,0
6448,0.00017784157137335852,0
2772,0.000374061373157381,0
7935,2.3870016960179606e-05,0
1418,0.00031718546536689876,0
4770,0.0001764257440895152,0
1565,0.0001764573926830403,0
6665,0.000176572995966734,0
304,0.00020890862660852359,0
3684,0.0001771355289295682,0
4251,0.00017631043640841182,0
2498,5.951284463057652e-05,0
3461,0.00017618628945302947,0
2364,0.00017706804891644702,0
320,0.0001810568313327015,0
7505,0.00020316628280314024,0
1967,8.080040070080536e-06,0
6362,0.00017608602754555448,0
5249,0.0001776900775934902,0
444,0.00017714226075638725,0
5409,0.00017683712474584126,0
8004,3.5880962470689216e-05,0
3145,0.00017640420418032877,0
9180,0.0003226467773378708,0
1462,0.0003755608772111431,0
2064,0.00017665978820431108,0
6608,0.00017698520968973476,0
3628,0.00017665333056461892,0
749,0.0001773427704394855,0
6734,0.00017774872350695363,0
7223,0.0001767799017313076,0
7469,4.920335914906541e-05,0
6147,0.00017757394049133343,0
923,0.0001773619060044749,0
8499,2.5108569681893507e-05,0
8465,0.0002040379484961622,0
8095,2.9679326415947757e-05,0
4042,0.00017634675321519052,0
2243,0.00017659485871757214,0
5154,0.00017889647237300142,0
7426,0.00018754405105913632,0
5710,0.00017716896347446762,0
8866,0.00015368715391052862,0
2724,0.00017780913441886462,0
6710,0.00017867149611296558,0
1633,0.00017630951606917983,0
2354,0.00018899120620918006,0
1464,0.0002244207336163153,0
6008,0.00017707559212631213,0
7800,0.00010191890854136434,0
207,0.00017908029842985082,0
4782,0.00017849255065592216,0
9645,4.293438834280781e-05,0
6994,0.0002914142622126819,0
6879,0.00017805198877004518,0
2789,0.00017734791546482337,0
5258,0.00017954335461653874,0
7232,0.00020499181382917616,0
1317,2.915659845932841e-05,0
8848,8.579578210739234e-06,0
4781,0.00017789741232561004,0
276,0.0001779660210038969,0
6330,0.00017638034389176214,0
7571,4.818919744379007e-05,0
4233,0.0001764550536942463,0
4475,0.0001768565363954893,0
1277,7.131569376130278e-05,0
7317,0.00018847005937344894,0
6111,0.00017756887780311055,0
2506,0.0001764269778180372,0
6022,0.00017714817193574677,0
3169,0.00017885983321647497,0
2202,7.106572634976801e-05,0
8231,0.00045754362035180723,0
1927,0.00022447050895120312,0
2060,0.00017653783339080636,0
3722,0.00017669579217625107,0
5936,0.0001764966572632095,0
6133,0.00018021926399430563,0
1553,2.9156598656297945e-05,0
7841,0.00018434042714169494,0
8081,5.132586206088311e-05,0
8949,4.010136476845135e-05,0
7830,4.333107554490457e-05,0
1555,0.0001775792298373891,0
2678,0.00017693750725909877,0
3859,0.00017636246913817007,0
3294,0.00017640804509595656,0
6889,0.00017688097480816266,0
8179,6.511758155767086e-05,0
1969,7.081793260265231e-06,0
8089,2.9741100412900988e-05,0
9195,0.00011104818095570726,0
3002,0.00018837271658184903,0
4525,0.00017661142083989854,0
3827,0.000176621291816664,0
6019,0.0001785629988320811,0
221,0.00047730778059542413,0
4439,0.0001764816656400566,0
9345,2.765656427293507e-05,0
2861,6.953693726619988e-06,0
880,0.00017636992933167927,0
9388,6.199669692638328e-05,0
6083,0.0001763982593097085,0
6197,0.0001776062503610986,0
1860,0.0002065025032878242,0
723,0.00017804873792942995,0
3034,0.00017701264329272905,0
6903,0.00017656595689948947,0
1485,0.00017771836031439529,0
4045,0.00017779914328002055,0
7943,0.00046578536705637556,0
360,0.0001772612097537777,0
8728,4.363718017108326e-05,0
7946,4.8617472690442e-05,0
2183,0.0001767824641656344,0
5432,0.00017776804063138028,0
3735,0.00017709866982984658,0
5832,0.00017716387005651198,0
7840,0.0001553102062379634,0
6863,0.00017708963779021375,0
8637,0.00018397036441234951,0
5177,0.00017873620015174498,0
8255,5.728267460493203e-05,0
5187,8.080040070080536e-06,0
3725,0.0001773453919089616,0
7542,0.0001827750117976522,0
2735,0.00017658803487081916,0
5172,0.00017721257701288024,0
6050,0.00017678221000533794,0
6415,0.00017694658791250233,0
5899,0.0001765179147385018,0
3638,0.00017701220824922024,0
6855,0.00017691240477323762,0
7129,0.00017714760642807912,0
3738,0.00017650265161729673,0
9520,0.0001607908686813342,0
7798,4.8633873143528244e-05,0
8160,0.00016946871773180933,0
8141,0.00012051277643139551,0
2764,0.000177702046371779,0
2249,0.00017636431925510335,0
9316,2.668179643009411e-05,0
3766,0.00017727883586769242,0
5913,3.636391484325014e-05,0
3611,0.00017715046459858803,0
9192,0.00030113620192411233,0
4750,0.0001808048097103499,0
9536,8.080040070080536e-06,0
5611,0.0001767889534138658,0
6145,0.00017652859676493547,0
1283,6.99848085020753e-06,0
1252,2.915659861526146e-05,0
8717,0.000483905432872166,0
1211,0.00017641090499520692,0
5979,0.00017655609490608188,0
5212,0.00017752172315764397,0
4582,0.00017780317192332955,0
4478,0.0001771227021125948,0
4888,0.0001771125623840286,0
1127,0.00017670429154889784,0
613,0.00017839756274186117,0
4074,0.0001767546110935249,0
3754,0.00017674184217752014,0
7181,0.00017685411232769,0
8427,5.04788923950278e-05,0
6923,0.0003914790302762331,0
9506,0.000177516530445509,0
4076,0.00017739702271151576,0
7543,0.0002911731630365244,0
7434,0.00017077813249130564,0
264,7.055465189055019e-06,0
8679,0.00019857454712637803,0
9050,0.000160905939415222,0
9211,2.701604168765793e-05,0
5814,0.00017558172684518052,0
5251,0.00017637225189508183,0
5807,0.00017816445455429573,0
4978,0.0001779321371014863,0
3227,0.00017736528526588401,0
8403,5.5306406957291706e-05,0
1838,7.304444497502666e-05,0
2990,0.00017667694823170267,0
1680,7.1712822545874526e-06,0
6471,0.0001810675141847454,0
3928,0.0001783650327890844,0
415,0.00022572969269220658,0
5878,8.218815731797324e-06,0
6450,0.0001764345351598603,0
2859,8.080040070080536e-06,0
5822,0.0001779857203978061,0
5708,0.0001773721848747535,0
6498,0.0001776493688173477,0
4707,0.00017641947212027143,0
3913,0.0001761521050169969,0
7740,3.101008062626859e-05,0
7484,0.00026765024762400824,0
5180,0.00017635847846373317,0
664,0.00017694104787634686,0
884,0.0001762949527189774,0
