,reconstruction_error,true_class
10859,0.0001615323610122436,0
10674,2.3900855066683584e-05,0
10328,1.626689067377199e-05,0
9808,3.144674759497966e-05,0
10298,2.6679441332849948e-05,0
9714,2.346102882946979e-05,0
7988,0.00014214136090425026,0
3780,0.00014243019014699993,0
2139,0.00017656810018917558,0
6785,0.0001421783741636284,0
8776,0.0005157077243925358,0
10086,4.0413160618183956e-05,0
2898,0.00027231996468597236,0
9068,0.0002946003334833964,0
7646,0.00014243539886810546,0
6816,0.00014237464700759747,0
7552,0.00014227966198801918,0
4943,2.0325381175446292e-05,0
9649,0.00024452404363745284,0
9738,0.00016165743421511935,0
5760,0.0001422478763166084,0
9151,0.00018770249443533435,0
6834,0.00014222026938682272,0
2436,0.00017525346391250476,0
10206,4.461731705985659e-05,0
7869,0.000142206269155419,0
8059,0.00014204532942971328,0
10031,0.00030434485813045023,0
4967,0.00014233339410540838,0
9227,2.045877725405549e-05,0
3674,0.0001424441760899618,0
8990,1.6074474743393762e-05,0
6218,0.00014215395062706858,0
4258,0.0001425935631591152,0
9344,0.00024451466742681914,0
7048,0.00014217054550913743,0
10474,4.9299755930790345e-05,0
4091,0.0005454204402254629,0
6241,0.0001420630852241096,0
4952,0.00014249615003842598,0
4151,0.0004308590709214754,0
7230,0.0001422415245037553,0
10303,3.337804445670602e-05,0
4697,0.0001420071341455186,0
2008,0.000148278115917068,0
4302,0.0001423459693493671,0
7786,0.0001424184085800582,0
8459,1.748975210782268e-05,0
6763,0.00014217921799219546,0
2310,0.00014581073799979988,0
8790,2.80060032733514e-05,0
8391,0.00016088965354921824,0
5332,0.00014201267102911382,0
2180,0.00024579545135162625,0
7711,0.00014206784016141885,0
2595,0.0001482494462857715,0
7469,0.00014212748797213967,0
4334,0.0001419702374154982,0
3979,0.00014254805299526726,0
5582,0.00014200376753588294,0
7550,0.00014217448502603977,0
8842,7.161614886071573e-05,0
2280,0.00014579646151694766,0
10434,7.70576355979013e-05,0
8775,0.00020447816986097486,0
2355,0.00014578228627081763,0
10946,4.0458086214976596e-05,0
10511,9.691966174188419e-05,0
3518,0.0002330659282472837,0
3105,0.00016651488107235167,0
3128,0.00013800945147515964,0
7442,0.00014213570732000624,0
6681,0.00014213063466059572,0
5170,0.0001419796284834597,0
1852,9.014869313067e-05,0
1535,0.0005242015092399516,0
9443,3.0217515858361577e-05,0
10075,0.00017881690421050155,0
7810,0.00014237972237389083,0
6497,0.0001424241825127493,0
5535,0.00014194196184912723,0
7303,0.00014221734000250058,0
6301,0.00014205481060732488,0
4535,0.00014187399484032485,0
5667,0.00014254020049379016,0
7535,0.00014205145843836217,0
3416,0.00014202132245408022,0
9182,5.404274173115706e-05,0
1652,0.0001835525508428797,0
8856,0.00024444153149488264,0
5850,0.0001418625224417532,0
9886,4.248965677026331e-05,0
10594,1.781782264142519e-05,0
5567,0.00014188201667715702,0
5451,0.00014328315689007828,0
6777,0.00014213954475224231,0
5855,0.00014190912867179616,0
8763,1.629479033601841e-05,0
7012,0.000142031066133941,0
7914,0.00014219028794080625,0
2536,0.00024252652029406425,0
3269,0.00014235711302745997,0
7392,0.00014216719099536824,0
6076,0.00014031202915934198,0
3773,0.00014217765771554138,0
9356,1.839054878848023e-05,0
4707,0.00014193121605202215,0
10675,0.0002445124136863278,0
4665,0.0001419081996287789,0
6365,0.0001421114508454264,0
5889,0.00014205803703377308,0
4955,0.00014233302771911937,0
8377,1.6243698666214465e-05,0
5262,0.0001422506048089266,0
9106,1.528006501087583e-05,0
2693,0.00016773636788276587,0
2789,0.000142500657675309,0
1871,0.0001480724753380928,0
8585,3.1132498227533455e-05,0
7114,0.00014236526523405676,0
6342,0.00014206408182666763,0
5369,0.00014194802665688094,0
5441,0.00014225486407919093,0
9217,0.0004825447579534605,0
8453,0.00016064534647795814,0
5495,0.00014226270813794023,0
9291,0.0002762568828081119,0
9914,0.000387296206077972,0
7387,0.00014212422797060126,0
2786,0.00023687492747129224,0
9614,0.00027575905436941293,0
1882,0.00014781080093919985,0
9464,1.57024096052012e-05,0
8376,1.622472221530647e-05,0
7066,0.00014203211439699714,0
1777,0.00017511230907376715,0
5072,0.00014193059993146008,0
5604,0.00014197786624076624,0
3854,0.0002720314189962282,0
4179,0.0001673475076567943,0
8845,5.1763464590701385e-05,0
2932,0.0003140288555090344,0
2158,0.00014586425265142514,0
3220,8.208237657400157e-05,0
3732,0.0001423793101252987,0
3858,0.00014238428389662033,0
7993,0.00014240711597770484,0
9881,3.571622127637103e-05,0
5293,0.0001420111564304585,0
9238,4.2807831475541134e-05,0
2131,0.0004176853991605554,0
5274,0.00014249136127474494,0
6557,0.00014210122507592575,0
5950,0.0001420166114970006,0
8783,4.637044267153717e-05,0
8115,0.00014209073235616862,0
9670,5.375960954557109e-05,0
8387,0.0002763441611504646,0
8557,0.00016070933915683582,0
9919,2.746305641686843e-05,0
6252,0.00014205404432293727,0
2542,0.0001456694709042486,0
2274,0.0001457626675180331,0
8921,0.0002716743050937363,0
5150,0.00014188708709065586,0
7311,6.341390474791757e-05,0
2331,0.00014806951889848654,0
8438,0.0001604535073896902,0
8945,3.555242910367097e-05,0
7056,0.00014204683567472807,0
1509,0.0005224592274215211,0
5417,0.00014243160106925155,0
3206,3.0632468318300215e-06,0
10723,5.7610430244260086e-05,0
2683,2.2116158161482345e-06,0
4130,0.000142204666197257,0
3343,2.971638291925531e-06,0
3857,0.00014226797115493467,0
8912,0.0004194979106087038,0
7768,0.0001421663866449878,0
10190,5.694421424515302e-05,0
2048,0.0001480586167629972,0
9109,0.00017245754506745454,0
7652,0.0001421760668991287,0
4776,0.0001420957003118517,0
4160,0.00014238018042557907,0
9628,3.928924124551146e-05,0
4640,0.00014188643196839964,0
7567,0.00014212001194258456,0
10275,4.057875590248846e-05,0
8345,0.00022139037511792817,0
10678,1.9376871453496647e-05,0
6228,0.00014218345966385807,0
5534,0.00014189184894939125,0
10633,5.383252198672349e-05,0
2594,2.410382798986849e-05,0
10823,3.3635503256371864e-05,0
9744,0.0002755877683935594,0
4805,0.0001419696474704462,0
3248,7.136875699327468e-05,0
1743,0.00028327505645115575,0
6096,0.00014191596888749362,0
6448,0.00014238914125595158,0
10309,0.00024964225799877713,0
3927,0.0005107064922825835,0
5969,0.00014247090279395964,0
3594,0.0001423876850152221,0
9957,0.0002942232008759586,0
3410,0.00014224139173419292,0
5925,0.0001422793089152413,0
2636,0.0005449666451312812,0
5028,0.00014189635887229687,0
1556,0.00017506509469611528,0
6424,0.0002719827895533679,0
7141,0.00014201714753312843,0
6398,0.000142370004632472,0
9762,4.105725651596466e-05,0
9370,2.483121545385799e-05,0
2199,0.00014576274308948628,0
8905,3.3854391794251445e-05,0
